Type,Management,year_restoration,Year,Transect,Evenness - functional,Richness - taxa,Richness - ant,detritivores,herb chew,herb suck,parasitoid,pollinator,predator,scavenger,vol_detritivores,vol_herb chew,vol_herb suck,vol_parasitoid,vol_pollinator,vol_predator,vol_scavenger,vol_total
GL,active,3,2019,DC3-NG4-1,0.161880248,15,2,0.938212114,0,0.013232755,0.000465361,0,0.002679577,0.045410193,2045.274992,0,28.84702004,1.014472628,0,5.84139884,98.99289351,2179.970777
GL,active,1,2015,BF3,0.271587831,17,4.5,0.661871007,0.295028847,0.001446905,0.0274,0,0.002814778,0.011429336,3562.778781,1588.107811,7.788531787,147.5403175,0,15.15163957,61.52285613,5382.889937
CSS,active,1,2015,BF31,0.234758906,14,3,0.002656042,0.145883134,0.078618858,0.0018,0,0.008831341,0.762217795,0.654498469,35.94832844,19.3731547,0.441786467,0,2.176207411,187.8246983,246.4186738
GL,active,1,2015,BF32,0.158400416,11,1,0.004259843,0.949162838,0.018580812,0,0,0.024199856,0.003796651,9.179341035,2045.307717,40.03894387,0,0,52.14716556,8.181230869,2154.854399
CSS,active,1,2015,BF33,0.453342564,12,4,0.370996979,0,0.054380665,0.0077,0,0.366364552,0.20060423,30.13965452,0,4.417864669,0.621773546,0,29.7633179,16.29701189,81.23962253
GL,active,1,2015,BF34,0.235199183,11,3,0.746552598,0,0.000450273,0.0074,0,0.222378567,0.023245342,217.0316925,0,0.130899694,2.143482488,0,64.64808632,6.757696698,290.7118577
CSS,active,1,2015,BF45,0.453135515,18,3,0.166000999,0.503467022,0.145920009,0.0936,0,0.041493316,0.04950907,97.9293335,297.0114055,86.0829112,55.22330836,0,24.47824276,29.2069942,589.9321955
GL,active,1,2015,BF47,0.307668038,13,1,0.518864112,0,0.002351126,0.0006,0.018809008,0.440909592,0.018478381,231.1034096,0,1.047197551,0.261799388,8.37758041,196.3822658,8.230318254,445.402571
GL,active,1,2015,BF48,0.531374762,14,2,0.255251935,0.048017691,0.030445427,0.0406,0,0.35187964,0.273850892,105.7669527,19.89675347,12.615458,16.8042482,0,145.8058965,113.4736721,414.362981
GL,active,1,2015,BF53,0.171764911,14,3,0.002476177,0.909827227,0.000191704,0.0354,0,0.000575112,0.051560391,5.072363139,1863.749842,0.392699082,72.45298057,0,1.178097245,105.6196905,2048.465672
GL,active,1,2015,BF57,0.313758751,14,4,0.579789662,0.012925216,0.000262194,0.0497,0,0.340949921,0.016362877,976.920778,21.77843657,0.441786467,83.75944163,0,574.4860316,27.57074803,1684.957222
CSS,passive,1,2015,BFP13,0.271173466,8,0,0.348756103,0,0,0.0149,0,0.636363636,0,24.54369261,0,0,1.047197551,0,44.78405778,0,70.37494793
GL,passive,1,2015,BFP14,0.329623744,15,3,0.175807864,0,0.088798386,0.0021,0.050660374,0.623301488,0.059376546,75.57821077,0,38.17362323,0.883572934,21.77843657,267.9516734,25.52544031,429.8909572
GL,passive,1,2015,BFP16,0.214393118,13,2,0.158345106,0,0.016750757,0.0017,0,0.800282543,0.022885974,64.1899374,0,6.790421621,0.703585855,0,324.4185289,9.277515805,405.3799895
CSS,active,1,2013,BF16,0.195724451,13,2,0.019396176,0.849018003,0,0.081719887,0,0.044424905,0.005441028,36.45556475,1595.749081,0,153.5944283,0,83.49764225,10.22653859,1879.523255
CSS,active,1,2013,BF19,0.177934858,12,3,0.02048724,4.45E-05,0.046140828,0.00017815,0,0.893733577,0.039415668,7.526732399,0.016362462,16.95151036,0.065449847,0,328.3455197,14.48077864,367.3863534
CSS,active,1,2013,BF23,0.205531482,14,1,0.004381648,0.81591514,0.002028224,0.005729519,0,0.171136747,0.000808722,16.75516082,3120.010567,7.755806864,21.90933627,0,654.4166572,3.092505268,3823.940033
GL,active,1,2013,BF25,0.258683959,12,3,0.003068956,0,0.129759279,0.020523641,0.02071545,0.723985806,0.101946869,0.523598776,0,22.13841073,3.501566812,3.534291735,123.5202237,17.39329683,170.6113885
CSS,active,1,2013,BF29,0.298284498,14,5,0.017631238,0,0.013115516,0.000531261,0,0.552312647,0.416409337,8.688467183,0,6.463172386,0.261799388,0,272.1731885,205.2016326,492.7882601
GL,active,1,2013,BF56,0.227155933,12,5,0.078123244,0.785181143,0.001003226,0.04680653,0,0.052801811,0.036084046,159.2722026,1600.772357,2.045307717,95.42587685,0,107.6486358,73.56562797,2038.730008
CSS,active,1,2013,BF6,0.298887954,9,2,0.035766781,0.627241548,0.000195982,0.000881921,0,0.28378246,0.052131308,5.972298534,104.7361176,0.032724923,0.147262156,0,47.38568919,8.704829644,166.978922
GL,active,1,2013,BF60,0.21135707,13,6,0.154351488,0.003593487,0.007636159,0.007018529,0,0.020213363,0.807186974,44.98040732,1.047197551,2.225294796,2.045307717,0,5.890486225,235.2267499,291.4154435
GL,passive,1,2013,BFP1,0.354415297,9,3,0.239439655,0.176551724,0.000344828,0,0,0.023275862,0.560387931,90.89347495,67.02064328,0.130899694,0,0,8.835729338,212.728365,379.6091123
GL,passive,1,2013,BFP19,0.244822817,13,3,0.023534179,0.726757497,4.39E-05,0,0.000131803,0.233506305,0.016026283,78.88342804,2435.994216,0.147262156,0,0.441786467,782.6819947,53.71796188,3351.866649
CSS,active,1,2015,owm1,0.180851,14,5,0.88638195,0.003223207,0.00886382,0.012087027,0,0.042707494,0.046736503,550,2,5.5,7.5,0,26.5,29,620.5
CSS,active,1,2015,owm2,0.197192947,16,4,0.846841811,0.017328116,0.020681945,0.01509223,0,0.024035774,0.076020123,757.5,15.5,18.5,13.5,0,21.5,68,894.5
CSS,active,1,2015,owu2,0.206589711,14,6,0.819206009,0,0.014484979,0.002145923,0,0.024141631,0.140021459,763.5,,13.5,2,0,22.5,130.5,932
CSS,active,1,2015,owu3,0.464011036,16,6,0.433179724,0.013824885,0.205069124,0.013824885,0,0.062211982,0.271889401,94,3,44.5,3,0,13.5,59,217
CSS,active,1,2015,owbuf1,0.165279754,12,5,0.928844151,0,0.003818119,0.017007983,0,0.022561611,0.027768136,1338,,5.5,24.5,0,32.5,40,1440.5
CSS,active,1,2015,owbuf2,0.282154331,11,5,0.682326622,0,0.020134228,0.015659955,0,0.154362416,0.127516779,152.5,,4.5,3.5,0,34.5,28.5,223.5
CSS,active,1,2015,owbuf3,0.471849601,15,4,0.48189415,0.026462396,0.176880223,0.044568245,0,0.140668524,0.129526462,173,9.5,63.5,16,0,50.5,46.5,359
CSS,active,1,2017,DC3-ES2-1,0.432297781,11,2,0.00216464,0,0.001718979,0.314636786,0.174699179,0.44381486,0.062965557,0.556323699,0,0.441786467,80.86328591,44.89859501,114.0627208,16.18247466,257.0051865
CSS,active,1,2017,DC3-ES3-1,0.238161451,12,4,0.015724221,0,0.106970064,0.015119444,0,0.759903236,0.102283036,3.403392041,0,23.15288336,3.272492347,0,164.4754654,22.13841073,216.4426439
CSS,active,1,2017,DC3-ES3-2,0.193889107,10,2,0.04443128,0,0.085308057,0.017476303,0,0.85278436,0,4.908738521,0,9.424777961,1.930770485,0,94.21505468,0,110.4793417
GL,active,1,2017,DC3-NG1-1,0.575240625,9,2,0.009542369,0.26879914,0.135877965,0,0.3438613,0.05013104,0.191788186,4.646939133,130.8996939,66.16979527,,167.4534334,24.41279291,93.3969316,486.9795862
GL,active,1,2017,DC3-NG1-2,0.305228682,14,3,0.636528228,0,0.013476495,0.008737681,0.077348153,0.236358198,0.027551245,661.5506905,0,14.00626725,9.081166264,80.38877452,245.6496381,28.63430804,1039.310845
